"index","time_ID","E_1","E_2","E_25","temp","humidity","pressure","wind_speed","rain_duration","snow_duration","day_night","time_band","season","weather_main","energy_demand"
2,"2015-01-01 01:00:00+01:00",2750.13105446754,2574.96655341761,3016.3859348618,281.625,100,1035,7,0,0,2,1,4,"1",2949.48954737519
8,"2015-01-01 07:00:00+01:00",2430.77036194558,2496.4570498393,2785.33331262053,280.467,100,1037,5,0,0,2,1,4,"1",2465.00486042426
9,"2015-01-01 08:00:00+01:00",2496.4570498393,2691.58159417185,2866.86706518106,280.751,100,1038,2,0,0,1,2,4,"1",2430.77036194558
16,"2015-01-01 15:00:00+01:00",2796.58351883437,2855.61685896722,3383.89267118063,284.3166875,58,1035,4,0,0,1,2,4,"1",2846.1812021427
25,"2015-01-02 00:00:00+01:00",3016.3859348618,2808.19663492608,3092.47603925434,282.779,100,1038,2,0,0,2,1,4,"1",3274.656797943
26,"2015-01-02 01:00:00+01:00",2808.19663492608,2726.66288236555,2852.95551986287,282.779,100,1038,2,0,0,2,1,4,"1",3016.3859348618
46,"2015-01-02 21:00:00+01:00",3922.57189989287,3593.41264066852,3613.8565637883,284.362,100,1038,2,0,0,2,3,4,"2",4072.81658932933
52,"2015-01-03 03:00:00+01:00",2557.90978915792,2578.59565219627,2684.44436657382,282.867,100,1037,3,0,0,2,1,4,"2",2576.1762530105
54,"2015-01-03 05:00:00+01:00",2621.9028976216,2676.70228917934,2684.92824641097,282.867,100,1037,3,0,0,2,1,4,"2",2578.59565219627
60,"2015-01-03 11:00:00+01:00",3231.83343235483,3242.23684885365,3722.48758722948,286.043,100,1036,2,0,0,1,1,4,"1",3261.22913246197
62,"2015-01-03 13:00:00+01:00",3195.54244456825,3068.04010747804,3680.99489119349,286.043,100,1036,2,0,0,1,1,4,"1",3242.23684885365
63,"2015-01-03 14:00:00+01:00",3068.04010747804,2996.42589157917,3476.79759991429,286.043,100,1036,2,0,0,1,1,4,"1",3195.54244456825
65,"2015-01-03 16:00:00+01:00",2963.88497253053,3023.28122254125,3399.86070580673,286.8905,88,1033,1,0,0,1,1,4,"1",2996.42589157917
77,"2015-01-04 04:00:00+01:00",2684.92824641097,2907.51297150204,2513.51381409899,284.95,56,1027,1,0,0,2,1,4,"1",2652.7502372402
79,"2015-01-04 06:00:00+01:00",3242.8416986501,3425.38536721663,2449.88361551318,283.77,65,1027,1,0,0,2,1,4,"1",2907.51297150204
85,"2015-01-04 12:00:00+01:00",3680.99489119349,3476.79759991429,2647.79046890936,289.35,65,1027,2,0,0,1,1,4,"1",3711.96320077137
86,"2015-01-04 13:00:00+01:00",3476.79759991429,3417.28037994429,2667.14566239554,290.05,64,1027,1,0,0,1,1,4,"1",3680.99489119349
87,"2015-01-04 14:00:00+01:00",3417.28037994429,3399.86070580673,2765.13132941933,288.6785,65,1029,2,0,0,1,1,4,"1",3476.79759991429
89,"2015-01-04 16:00:00+01:00",3376.02962382687,3335.98856730234,3070.33853670452,289.36,68,1026,0,0,0,1,1,4,"2",3399.86070580673
99,"2015-01-05 02:00:00+01:00",2562.3856776516,2513.51381409899,3442.32116151703,283.77,70,1027,2,0,0,2,1,4,"1",2659.88746483823
103,"2015-01-05 06:00:00+01:00",2415.04426723805,2515.69127336619,3864.62728939362,282.25,79,1026,1,0,0,2,1,4,"1",2449.88361551318
108,"2015-01-05 11:00:00+01:00",2647.79046890936,2667.14566239554,3725.75377613028,288.26,53,1027,2,0,0,1,3,4,"1",2955.17513546175
117,"2015-01-05 20:00:00+01:00",3097.31483762588,3070.33853670452,3643.6151737733,284.95,83,1024,5,0,0,2,3,4,"2",2765.13132941933
122,"2015-01-06 01:00:00+01:00",2606.41874283265,2561.05500809942,3445.70832037712,284.15,83,1022,1,0,0,2,1,4,"2",2704.16246993786
123,"2015-01-06 02:00:00+01:00",2561.05500809942,2545.44988335119,3269.3341197343,284.35,80,1021,1,0,0,2,1,4,"2",2606.41874283265
130,"2015-01-06 09:00:00+01:00",3736.39913254768,3799.54545129634,4025.39636528819,284.26,65,1022,1,0,0,1,2,4,"2",3593.77555054639
132,"2015-01-06 11:00:00+01:00",3864.62728939362,3880.47435406042,4209.2707034069,286.76,53,1022,1,0,0,1,3,4,"2",3799.54545129634
136,"2015-01-06 15:00:00+01:00",3700.59202459824,3725.75377613028,4357.33793357617,286.75,67,1021,1,0,0,1,2,4,"1",3694.6644965931
138,"2015-01-06 17:00:00+01:00",3687.2853290765,3646.8813626741,4378.50767645168,286.45,68,1021,0,0,0,1,2,4,"1",3725.75377613028
139,"2015-01-06 18:00:00+01:00",3646.8813626741,3643.6151737733,4323.34537501607,284.85,73,1022,1,0,0,2,3,4,"1",3687.2853290765
143,"2015-01-06 22:00:00+01:00",3317.11725365331,3691.76121757017,3955.35475886008,283.95,84,1023,1,0,0,2,3,4,"2",3626.43743955432
147,"2015-01-07 02:00:00+01:00",3175.21949140776,3125.62180809942,2889.8513574459,283.75,81,1025,1,0,0,2,1,4,"2",3269.3341197343
