"index","time_ID","E_1","E_2","E_25","temp","humidity","pressure","wind_speed","rain_duration","snow_duration","day_night","time_band","season","weather_main","energy_demand"
9,"2015-01-01 08:00:00+01:00",951.359067152346,1025.71784872509,1092.51628300836,270.689,96,1036,1,0,0,1,2,4,"1",926.326941675595
15,"2015-01-01 14:00:00+01:00",1084.63323796872,1065.73236974502,1348.00070177844,284.3293438,48,1036,1,0,0,1,2,4,"1",1137.37127028069
16,"2015-01-01 15:00:00+01:00",1065.73236974502,1088.22901289908,1289.54630932076,284.5916875,49,1035,0,0,0,1,2,4,"1",1084.63323796872
23,"2015-01-01 22:00:00+01:00",1235.37918697236,1247.91829955003,1494.82817810156,274.839,88,1036,1,0,0,2,3,4,"1",1338.31976927362
32,"2015-01-02 07:00:00+01:00",1092.51628300836,1190.93909680737,1020.04758825798,272.387,93,1037,1,0,0,2,1,4,"2",1061.44509963574
33,"2015-01-02 08:00:00+01:00",1190.93909680737,1287.42572410542,1049.04428609385,271.6496563,95,1037,1,0,0,1,2,4,"2",1092.51628300836
53,"2015-01-03 04:00:00+01:00",982.660748917935,999.164433854725,1010.91985189629,272.775,95,1036,1,0,0,2,1,4,"1",974.777703878295
59,"2015-01-03 10:00:00+01:00",1242.80123522606,1231.59901332762,1409.9586698093,278.3975,72,1036,1,0,0,1,1,4,"1",1219.52089753589
61,"2015-01-03 12:00:00+01:00",1235.56358568674,1217.7691097493,1414.56863766874,280.7956563,63,1036,1,0,0,1,1,4,"1",1231.59901332762
67,"2015-01-03 18:00:00+01:00",1289.13141221341,1368.8838561817,1271.29083659739,279.891,80,1036,0,0,0,2,1,4,"1",1152.1231674309
69,"2015-01-03 20:00:00+01:00",1377.18179832869,1335.92258598672,1318.63520651382,275.9376563,93,1037,0,0,0,2,1,4,"1",1368.8838561817
70,"2015-01-03 21:00:00+01:00",1335.92258598672,1238.37566608099,1398.94084662524,274.6073438,95,1037,0,0,0,2,1,4,"1",1377.18179832869
72,"2015-01-03 23:00:00+01:00",1164.20128322263,1088.8744083994,1211.03855667452,272.899,97,1037,0,0,0,2,1,4,"1",1238.37566608099
84,"2015-01-04 11:00:00+01:00",1414.56863766874,1402.76711994858,1126.16904838226,279.1163438,91,1036,1,0.3,0,1,1,4,"8",1418.57930970645
86,"2015-01-04 13:00:00+01:00",1324.95086248125,1302.26982061281,1016.40571364903,280.235,91,1035,1,0.3,0,1,1,4,"8",1402.76711994858
92,"2015-01-04 19:00:00+01:00",1318.63520651382,1398.94084662524,1030.51221529891,279.4265,94,1034,1,0.3,0,2,1,4,"8",1263.96098770088
93,"2015-01-04 20:00:00+01:00",1398.94084662524,1299.54993957574,993.263674994643,278.3383438,97,1034,0,0.3,0,2,1,4,"8",1318.63520651382
94,"2015-01-04 21:00:00+01:00",1299.54993957574,1211.03855667452,975.976295521749,277.2336875,97,1034,0,0.3,0,2,1,4,"8",1398.94084662524
96,"2015-01-04 23:00:00+01:00",1155.67284268267,1078.27148232269,996.582851853439,275.5636563,98,1033,0,0.3,0,2,1,4,"8",1211.03855667452
106,"2015-01-05 09:00:00+01:00",1098.7397396186,1126.16904838226,1407.97638362974,273.529,97,1029,0,0,0,1,2,4,"2",1036.22857544461
116,"2015-01-05 19:00:00+01:00",1053.74645331048,1180.33617073066,1389.76701058496,277.5205,87,1026,1,0,0,2,3,4,"1",1016.40571364903
121,"2015-01-06 00:00:00+01:00",1030.51221529891,993.263674994643,1406.86999134348,272.5556563,98,1026,0,0,0,2,1,4,"1",1093.06947915149
124,"2015-01-06 03:00:00+01:00",970.029436983073,996.582851853439,1210.02436374545,271.8893438,98,1027,0,0,0,2,1,4,"2",975.976295521749
129,"2015-01-06 08:00:00+01:00",1369.52925168202,1423.8807727448,1429.78153160489,273.6673125,95,1027,1,0,0,1,2,4,"2",1311.81245408185
130,"2015-01-06 09:00:00+01:00",1423.8807727448,1447.94480497107,1534.01290490679,274.7776875,92,1027,1,0,0,1,2,4,"2",1369.52925168202
137,"2015-01-06 16:00:00+01:00",1419.8240010285,1405.16430323548,1662.63100818513,279.0355,88,1028,1,0,0,1,2,4,"2",1410.23526788087
139,"2015-01-06 18:00:00+01:00",1389.76701058496,1388.52231926291,1647.55641328477,279.2683438,90,1028,0,0,0,2,3,4,"2",1405.16430323548
143,"2015-01-06 22:00:00+01:00",1264.09928673666,1406.86999134348,1507.32119100064,275.9695,96,1029,0,0,0,2,3,4,"2",1381.97616490251
145,"2015-01-07 00:00:00+01:00",1313.10324508249,1245.88991369188,1234.91819018642,274.9966875,95,1029,1,0,0,2,1,4,"2",1406.86999134348
146,"2015-01-07 01:00:00+01:00",1245.88991369188,1210.02436374545,1159.22251793443,274.5725,96,1029,1,0,0,2,1,4,"2",1313.10324508249
150,"2015-01-07 05:00:00+01:00",1244.32252461967,1319.6032997643,1030.83491304907,273.088,97,1030,1,0,0,2,1,4,"2",1199.55973670452
154,"2015-01-07 09:00:00+01:00",1577.57710117849,1604.08441637026,1195.45686530962,273.7733438,94,1031,1,0,0,1,2,4,"1",1534.01290490679
160,"2015-01-07 15:00:00+01:00",1662.63100818513,1668.57786672381,1301.71662446968,283.245,65,1030,1,0,0,1,2,4,"1",1660.51042296979
161,"2015-01-07 16:00:00+01:00",1668.57786672381,1647.55641328477,1284.70584306835,279.8055,79,1031,1,0,0,1,2,4,"1",1662.63100818513
163,"2015-01-07 18:00:00+01:00",1622.15549037926,1589.05592114849,1268.06385909578,279.5856563,81,1031,1,0,0,2,3,4,"1",1647.55641328477
175,"2015-01-08 06:00:00+01:00",1039.22505455325,1108.32847276623,1196.97815470324,271.523,97,1033,1,0,0,2,1,4,"1",1039.593851982
178,"2015-01-08 09:00:00+01:00",1275.3015086351,1311.4436566531,1472.05493687594,272.4263438,96,1035,1,0,0,1,2,4,"1",1195.45686530962
187,"2015-01-08 18:00:00+01:00",1269.76954720377,1271.33693627598,1528.38874411828,280.1553438,76,1039,1,0,0,2,3,4,"2",1268.06385909578
192,"2015-01-08 23:00:00+01:00",1267.0496661667,1187.06672380544,1328.82323548318,276.604,82,1042,1,0,0,2,3,4,"2",1218.69110332119
194,"2015-01-09 01:00:00+01:00",1141.428041997,1115.05902584101,1083.57294536105,275.106,88,1041,1,0,0,2,1,4,"2",1187.06672380544
