"index","time_ID","E_1","E_2","E_25","temp","humidity","pressure","wind_speed","rain_duration","snow_duration","day_night","time_band","season","weather_main","energy_demand"
13,"2015-01-01 12:00:00+01:00",1966.3774551532,1963.11514480394,2101.88268746518,281.574,61,974,1,0,0,1,3,4,"1",1920.22769899293
19,"2015-01-01 18:00:00+01:00",2229.51063381187,2308.60176764517,2362.70837831583,277.459,72,1036,1,0,0,2,3,4,"1",2104.3493123634
20,"2015-01-01 19:00:00+01:00",2308.60176764517,2313.13717471609,2377.03071643454,274.9511875,55,999,1,0,0,2,3,4,"1",2229.51063381187
42,"2015-01-02 17:00:00+01:00",2311.06839254339,2543.56768133705,2286.8795548318,282.5916875,57,1037,1,0,0,1,2,4,"1",2160.84297938719
62,"2015-01-03 13:00:00+01:00",2101.88268746518,2018.01744092565,2090.26567988001,282.043,68,976,2,0,0,1,1,4,"1",2132.5961458753
63,"2015-01-03 14:00:00+01:00",2018.01744092565,1970.91286222413,1994.7038572102,282.043,68,976,2,0,0,1,1,4,"1",2101.88268746518
93,"2015-01-04 20:00:00+01:00",2414.58706972359,2243.03728647954,2552.39978984358,273.004,72,970,1,0,0,2,1,4,"1",2275.97866415256
101,"2015-01-05 04:00:00+01:00",1615.95758251553,1788.54175684594,2768.66709543604,270.453,65,969,1,0,0,2,1,4,"1",1653.27523016927
116,"2015-01-05 19:00:00+01:00",1818.77780398543,2037.2730288408,2879.98349003643,274.4765,69,981,1,0,0,2,3,4,"1",1754.32728245125
118,"2015-01-05 21:00:00+01:00",2019.52924328262,1895.48188146561,2799.85796511678,270.92,72,966,1,0,0,2,3,4,"1",2037.2730288408
119,"2015-01-05 22:00:00+01:00",1895.48188146561,2264.20251947718,2298.01915114635,270.92,72,966,1,0,0,2,3,4,"1",2019.52924328262
129,"2015-01-06 08:00:00+01:00",2363.82233794729,2457.63365262481,2309.55659018642,273.445,87,965,0,0,0,1,2,4,"2",2264.20251947718
155,"2015-01-07 10:00:00+01:00",2768.66709543604,2827.46825026784,2788.0818204414,274.8055938,74,967,1,0,0,1,3,4,"1",2722.91518200129
164,"2015-01-07 19:00:00+01:00",2298.01915114635,2333.6658593529,2703.42088845083,273.0895,67,985,1,0,0,2,3,4,"1",2799.85796511678
181,"2015-01-08 12:00:00+01:00",2333.6658593529,2309.55659018642,2500.0436871652,281.243,74,975,1,0,0,1,3,4,"1",2298.01915114635
183,"2015-01-08 14:00:00+01:00",2246.77700809942,2217.41621495607,2383.15749440754,283.599,64,975,1,0,0,1,2,4,"2",2309.55659018642
207,"2015-01-09 14:00:00+01:00",2688.7802761517,2686.87063106921,1760.13578624384,283.763,62,981,1,0,0,1,2,4,"1",2751.40072114849
212,"2015-01-09 19:00:00+01:00",2576.74776464538,2703.42088845083,1947.59927850868,276.701,83,980,0,0,0,2,3,4,"1",2581.2036031712
215,"2015-01-09 22:00:00+01:00",2293.56331262053,2383.15749440754,1833.97539610028,273.001,89,1011,1,0,0,2,3,4,"1",2500.0436871652
229,"2015-01-10 12:00:00+01:00",2483.97084105421,2423.49874677523,2059.95006419541,283.033,75,974,1,0,0,1,1,4,"1",2502.35117497322
230,"2015-01-10 13:00:00+01:00",2423.49874677523,2374.00711172059,1904.87096978787,282.933,74,974,1,0,0,1,1,4,"1",2483.97084105421
237,"2015-01-10 20:00:00+01:00",2538.23658881508,2282.8215590315,2716.94754111849,274.4556563,87,1012,1,0,0,2,1,4,"1",2565.60816833083
253,"2015-01-11 12:00:00+01:00",1966.3774551532,1947.59927850868,2913.40227898007,277.879,83,971,1,0,0,1,1,4,"2",1931.20815821727
256,"2015-01-11 15:00:00+01:00",1833.02057355903,1833.97539610028,2620.35132736233,283.935,72,970,1,0,0,1,1,4,"1",1860.07387889436
260,"2015-01-11 19:00:00+01:00",2158.13764885365,2150.33993143347,1950.78202031283,279.8116875,81,971,2,0,0,2,1,4,"1",2110.15781615599
