"index","time_ID","E_1","E_2","E_25","temp","humidity","pressure","wind_speed","rain_duration","snow_duration","day_night","time_band","season","weather_main","energy_demand"
2,"2015-01-01 01:00:00+01:00",956.437452239126,895.518941161346,1049.03527190915,273.375,75,1039,1,0,0,2,1,4,"1",1025.77012230555
8,"2015-01-01 07:00:00+01:00",845.370553589029,868.214995243197,968.680053567602,274.592,81,1039,4,0,0,2,1,4,"1",857.27658855796
9,"2015-01-01 08:00:00+01:00",868.214995243197,936.075187486608,997.035769359331,275.651,73,1041,2,0,0,1,2,4,"1",845.370553589029
16,"2015-01-01 15:00:00+01:00",972.592637497322,993.123185429612,1176.84634694665,286.994,53,1036,3,0,0,1,2,4,"1",989.841663424041
25,"2015-01-02 00:00:00+01:00",1049.03527190915,976.63143381187,1075.49780192843,276.529,83,1043,2,0,0,2,1,4,"1",1138.85641911292
26,"2015-01-02 01:00:00+01:00",976.63143381187,948.275718020141,992.197627940861,276.529,83,1043,2,0,0,2,1,4,"1",1049.03527190915
46,"2015-01-02 21:00:00+01:00",1364.1875968288,1249.7129637883,1256.8229281337,279.087,89,1044,3,0,0,2,3,4,"1",1416.43952414828
52,"2015-01-03 03:00:00+01:00",889.586959074352,896.781065009642,933.593010584958,276.217,85,1044,2,0,0,2,1,4,"1",895.939649110778
54,"2015-01-03 05:00:00+01:00",911.842409599314,930.900479708592,933.761293764731,276.217,85,1044,2,0,0,2,1,4,"1",896.781065009642
60,"2015-01-03 11:00:00+01:00",1123.96335770302,1127.58144606814,1294.60250199271,285.243,88,1045,2,0,0,1,1,4,"1",1134.18656087422
62,"2015-01-03 13:00:00+01:00",1111.34211922006,1066.9995013499,1280.17221932719,285.243,88,1045,2,0,0,1,1,4,"1",1127.58144606814
63,"2015-01-03 14:00:00+01:00",1066.9995013499,1042.09359074352,1209.15671746304,285.243,88,1045,2,0,0,1,1,4,"1",1111.34211922006
65,"2015-01-03 16:00:00+01:00",1030.77654690379,1051.43330722091,1182.39969187915,286.74675,79,1043,3,0,0,1,1,4,"1",1042.09359074352
77,"2015-01-04 04:00:00+01:00",933.761293764731,1011.17155646025,874.146977330191,277.093,78,1041,3,0,0,2,1,4,"1",922.570462309835
79,"2015-01-04 06:00:00+01:00",1127.79180004285,1191.27662961217,852.017739190058,277.854,87,1040,4,0,0,2,1,4,"1",1011.17155646025
85,"2015-01-04 12:00:00+01:00",1280.17221932719,1209.15671746304,920.845559717163,286.936,82,1040,2,0,0,1,1,4,"1",1290.94234283265
86,"2015-01-04 13:00:00+01:00",1209.15671746304,1188.45788635097,927.576886908078,286.936,82,1040,2,0,0,1,1,4,"1",1280.17221932719
