"index","time_ID","E_1","E_2","E_25","temp","humidity","pressure","wind_speed","rain_duration","snow_duration","day_night","time_band","season","weather_main","energy_demand"
2,"2015-01-01 01:00:00+01:00",1109.83148832226,1115.68591214913,1231.99379884294,270.475,77,1001,1,0,0,2,1,4,"1",1359.4529690165
11,"2015-01-01 10:00:00+01:00",1312.89636048854,1345.56962108421,1557.10946869509,274.601,71,1005,1,0,0,1,3,4,"1",1240.58028712235
12,"2015-01-01 11:00:00+01:00",1345.56962108421,1377.90834317549,1620.95056661667,284.824,55,1006,1,0,0,1,3,4,"1",1312.89636048854
19,"2015-01-01 18:00:00+01:00",1562.29481551318,1617.71669440754,1619.4451433469,279.984,68,1035,1,0,0,2,3,4,"1",1474.58997094493
28,"2015-01-02 03:00:00+01:00",1231.99379884294,1230.32110632098,1187.38866492393,270.664,82,1005,1,0,0,2,1,4,"1",1256.74964816799
29,"2015-01-02 04:00:00+01:00",1230.32110632098,1241.97419755732,1178.96944589672,270.664,82,1005,1,0,0,2,1,4,"1",1231.99379884294
49,"2015-01-03 00:00:00+01:00",1314.95934793229,1237.45792774802,1408.07256498822,272.333,78,1007,1,0,0,2,1,4,"1",1425.35705438183
57,"2015-01-03 08:00:00+01:00",1374.61871454896,1474.98026586672,1578.79871506321,275.827,78,1006,2,0,0,1,1,4,"1",1268.79303432612
63,"2015-01-03 14:00:00+01:00",1414.09425806728,1381.08645896722,1602.49519245768,287.968,51,1005,2,0,0,1,1,4,"1",1472.86152200557
65,"2015-01-03 16:00:00+01:00",1366.08798268695,1393.46438362974,1567.03411099207,288.18425,55,1010,2,0,0,1,1,4,"1",1381.08645896722
66,"2015-01-03 17:00:00+01:00",1393.46438362974,1559.17245613885,1556.05009676452,287.5973125,53,1032,2,0,0,1,1,4,"1",1366.08798268695
68,"2015-01-03 19:00:00+01:00",1655.6310582387,1665.66721337047,1528.72945223913,281.768,72,1003,2,0,0,2,1,4,"1",1559.17245613885
80,"2015-01-04 07:00:00+01:00",1578.79871506321,1665.49994411828,1113.12111694879,274.779,75,1002,2,0,0,2,1,4,"1",1494.66228120849
89,"2015-01-04 16:00:00+01:00",1556.05009676452,1537.59472260553,1415.15362999786,289.742,57,1001,1,0,0,1,1,4,"1",1567.03411099207
90,"2015-01-04 17:00:00+01:00",1537.59472260553,1528.72945223913,1328.22937527319,285.2135,74,1001,1,0,0,1,1,4,"1",1556.05009676452
92,"2015-01-04 19:00:00+01:00",1594.85656327405,1691.98424238269,1246.37895453182,278.057,89,1002,1,0,0,2,1,4,"1",1528.72945223913
106,"2015-01-05 09:00:00+01:00",1328.89845228198,1362.07352063424,1702.91250019284,277.061,83,1002,1,0,0,1,2,4,"1",1253.29275028927
117,"2015-01-05 20:00:00+01:00",1427.58731107778,1415.15362999786,1679.38329205057,275.77,91,998,0,0,0,2,3,4,"1",1274.48018890079
120,"2015-01-05 23:00:00+01:00",1322.04041294193,1246.37895453182,1528.89672149132,274.8905,88,997,1,0,0,2,3,4,"1",1328.22937527319
125,"2015-01-06 04:00:00+01:00",1205.34223132633,1306.54012890508,1440.63431274909,273.142,86,995,1,0,0,2,1,4,"1",1173.22653490465
126,"2015-01-06 05:00:00+01:00",1306.54012890508,1443.25486436683,1450.83773713306,272.325,86,995,1,0,0,2,1,4,"1",1205.34223132633
133,"2015-01-06 12:00:00+01:00",1788.55435731733,1739.20992791943,1981.30429226484,285.676,68,995,1,0,0,1,3,4,"1",1781.2502666381
139,"2015-01-06 18:00:00+01:00",1680.88871532033,1679.38329205057,1992.67860141418,279.973,96,995,1,0,0,2,3,4,"2",1699.51135873152
142,"2015-01-06 21:00:00+01:00",1671.46588077994,1528.89672149132,1879.8833690165,276.808,96,1011,1,0,0,2,3,4,"2",1714.34256575959
146,"2015-01-07 01:00:00+01:00",1506.87293661881,1463.49444388258,1402.05087190915,278.841,96,997,1,0,0,2,1,4,"2",1588.1657931862
150,"2015-01-07 05:00:00+01:00",1504.97721842726,1596.02744803943,1246.76924945361,278.987,96,998,2,0,0,2,1,4,"2",1450.83773713306
156,"2015-01-07 11:00:00+01:00",1981.30429226484,1993.40343484037,1586.15856215985,281.8165,79,1015,1,0.3,0,1,3,4,"8",1940.10029980716
157,"2015-01-07 12:00:00+01:00",1993.40343484037,1985.20724148275,1610.30109089351,284.118,77,1000,1,0,0,1,3,4,"1",1981.30429226484
159,"2015-01-07 14:00:00+01:00",2008.34615470324,2010.91094990358,1618.38577141633,284.1133438,72,1030,1,0.3,0,1,2,4,"8",1985.20724148275
160,"2015-01-07 15:00:00+01:00",2010.91094990358,2018.10352774802,1574.39395808871,284.5446875,72,1030,1,0.3,0,1,2,4,"8",2008.34615470324
171,"2015-01-08 02:00:00+01:00",1284.96239537176,1259.37019978573,1380.52889479323,278.05,95,1033,1,0,0,2,1,4,"2",1331.96505523891
172,"2015-01-08 03:00:00+01:00",1259.37019978573,1246.76924945361,1348.63622404114,277.25,95,1034,1,0,0,2,1,4,"2",1284.96239537176
174,"2015-01-08 05:00:00+01:00",1257.36296875937,1256.91691742018,1339.82671009214,276.45,96,1034,1,0,0,2,1,4,"2",1246.76924945361
183,"2015-01-08 14:00:00+01:00",1574.39395808871,1553.81984006857,1928.00115723163,287.75,52,1036,1,0,0,1,2,4,"1",1618.38577141633
190,"2015-01-08 21:00:00+01:00",1573.50185541033,1473.97665035355,1894.38003754018,281.05,72,1039,3,0,0,2,3,4,"1",1573.55761182773
195,"2015-01-09 02:00:00+01:00",1348.63622404114,1329.23299078637,1259.48171262053,277.45,77,1040,1,0,0,2,1,4,"1",1380.52889479323
196,"2015-01-09 03:00:00+01:00",1329.23299078637,1339.82671009214,1236.51006865224,278.95,70,1041,1,0,0,2,1,4,"1",1348.63622404114
