"index","time_ID","E_1","E_2","E_25","temp","humidity","pressure","wind_speed","rain_duration","snow_duration","day_night","time_band","season","weather_main","energy_demand"
1,"2015-01-01 00:00:00+01:00",2949.48954737519,2750.13105446754,3274.656797943,281.625,100,1035,7,0,0,2,1,4,"1",3070.82241654168
3,"2015-01-01 02:00:00+01:00",2574.96655341761,2451.33525502464,2808.19663492608,281.286,100,1036,7,0,0,2,1,4,"1",2750.13105446754
4,"2015-01-01 03:00:00+01:00",2451.33525502464,2407.90703964003,2726.66288236555,281.286,100,1036,7,0,0,2,1,4,"1",2574.96655341761
5,"2015-01-01 04:00:00+01:00",2407.90703964003,2420.60888536533,2672.9522204414,281.286,100,1036,7,0,0,2,1,4,"1",2451.33525502464
6,"2015-01-01 05:00:00+01:00",2420.60888536533,2465.00486042426,2669.32312166274,280.467,100,1037,5,0,0,2,1,4,"1",2407.90703964003
7,"2015-01-01 06:00:00+01:00",2465.00486042426,2430.77036194558,2694.60584315406,280.467,100,1037,5,0,0,2,1,4,"1",2420.60888536533
10,"2015-01-01 09:00:00+01:00",2691.58159417185,2848.47963136919,3125.13792826227,280.751,100,1038,2,0,0,1,2,4,"1",2496.4570498393
11,"2015-01-01 10:00:00+01:00",2848.47963136919,2919.36802751232,3378.32805305335,280.751,100,1038,2,0,0,1,3,4,"1",2691.58159417185
12,"2015-01-01 11:00:00+01:00",2919.36802751232,2989.53060389972,3516.83865643883,283.249,100,1038,2,0,0,1,3,4,"1",2848.47963136919
13,"2015-01-01 12:00:00+01:00",2989.53060389972,2984.57083556889,3516.71768647954,283.249,100,1038,2,0,0,1,3,4,"1",2919.36802751232
14,"2015-01-01 13:00:00+01:00",2984.57083556889,2846.1812021427,3561.23463149775,283.249,100,1038,2,0,0,1,3,4,"1",2989.53060389972
15,"2015-01-01 14:00:00+01:00",2846.1812021427,2796.58351883437,3537.2825795586,283.8043125,57,1035,3,0,0,1,2,4,"1",2984.57083556889
17,"2015-01-01 16:00:00+01:00",2855.61685896722,3199.29251330619,3304.89928776516,283.7205,62,1035,4,0,0,1,2,4,"1",2796.58351883437
18,"2015-01-01 17:00:00+01:00",3199.29251330619,3389.5782592672,3285.18118440111,284.6023125,62,1035,5,0,0,1,2,4,"1",2855.61685896722
19,"2015-01-01 18:00:00+01:00",3389.5782592672,3509.82239880009,3513.57246753803,284.3756563,65,1035,5,0,0,2,3,4,"1",3199.29251330619
20,"2015-01-01 19:00:00+01:00",3509.82239880009,3577.20266612385,3867.04668857939,284.1762188,83,1036,4,0,0,2,3,4,"1",3389.5782592672
21,"2015-01-01 20:00:00+01:00",3577.20266612385,3511.87888810799,4024.18666569531,283.945,84,1036,5,0,0,2,3,4,"1",3509.82239880009
22,"2015-01-01 21:00:00+01:00",3511.87888810799,3241.7529690165,4072.81658932933,283.741,100,1038,4,0,0,2,3,4,"1",3577.20266612385
23,"2015-01-01 22:00:00+01:00",3241.7529690165,3274.656797943,3922.57189989287,283.741,100,1038,4,0,0,2,3,4,"1",3511.87888810799
24,"2015-01-01 23:00:00+01:00",3274.656797943,3016.3859348618,3593.41264066852,282.779,100,1038,2,0,0,2,3,4,"1",3241.7529690165
27,"2015-01-02 02:00:00+01:00",2726.66288236555,2672.9522204414,2684.80727645168,281.864,100,1037,2,0,0,2,1,4,"1",2808.19663492608
28,"2015-01-02 03:00:00+01:00",2672.9522204414,2669.32312166274,2576.1762530105,281.864,100,1037,2,0,0,2,1,4,"1",2726.66288236555
29,"2015-01-02 04:00:00+01:00",2669.32312166274,2694.60584315406,2557.90978915792,281.864,100,1037,2,0,0,2,1,4,"1",2672.9522204414
30,"2015-01-02 05:00:00+01:00",2694.60584315406,2785.33331262053,2578.59565219627,281.452,100,1038,1,0,0,2,1,4,"1",2669.32312166274
31,"2015-01-02 06:00:00+01:00",2785.33331262053,2866.86706518106,2621.9028976216,281.452,100,1038,1,0,0,2,1,4,"1",2694.60584315406
32,"2015-01-02 07:00:00+01:00",2866.86706518106,3125.13792826227,2676.70228917934,281.452,100,1038,1,0,0,2,1,4,"1",2785.33331262053
33,"2015-01-02 08:00:00+01:00",3125.13792826227,3378.32805305335,2752.79239357189,282.505,100,1039,1,0,0,1,2,4,"1",2866.86706518106
34,"2015-01-02 09:00:00+01:00",3378.32805305335,3516.83865643883,2982.39337630169,282.505,100,1039,1,0,0,1,2,4,"1",3125.13792826227
