"index","time_ID","E_1","E_2","E_25","temp","humidity","pressure","wind_speed","rain_duration","snow_duration","day_night","time_band","season","weather_main","energy_demand"
12,"2015-01-01 11:00:00+01:00",1920.22769899293,1966.3774551532,2132.5961458753,281.574,61,974,1,0,0,1,3,4,"1",1873.60053156203
14,"2015-01-01 13:00:00+01:00",1963.11514480394,1872.08872920506,2018.01744092565,281.574,61,974,1,0,0,1,3,4,"1",1966.3774551532
15,"2015-01-01 14:00:00+01:00",1872.08872920506,1839.46562571245,1970.91286222413,282.5376563,47,1036,1,0,0,1,2,4,"1",1963.11514480394
16,"2015-01-01 15:00:00+01:00",1839.46562571245,1878.29507572316,1949.50892359117,283.3083125,45,1035,1,0,0,1,2,4,"1",1872.08872920506
17,"2015-01-01 16:00:00+01:00",1878.29507572316,2104.3493123634,1988.5770792372,277.958,68,1036,1,0,0,1,2,4,"1",1839.46562571245
18,"2015-01-01 17:00:00+01:00",2104.3493123634,2229.51063381187,2225.05479528605,280.769,58,1035,1,0,0,1,2,4,"1",1878.29507572316
21,"2015-01-01 20:00:00+01:00",2313.13717471609,2342.41839931433,2305.81686856653,271.5075,75,1005,1,0,0,2,3,4,"1",2308.60176764517
37,"2015-01-02 12:00:00+01:00",2342.41839931433,2326.66382738376,2376.79201079923,276.084,57,1007,1,0,0,1,3,4,"1",2313.13717471609
38,"2015-01-02 13:00:00+01:00",2326.66382738376,2225.77091219199,2433.60395200343,281.645,63,976,1,0,0,1,3,4,"1",2342.41839931433
39,"2015-01-02 14:00:00+01:00",2225.77091219199,2173.81265223913,2448.48326993786,284.1416563,47,1038,1,0,0,1,2,4,"1",2326.66382738376
40,"2015-01-02 15:00:00+01:00",2173.81265223913,2160.84297938719,2441.56080651382,284.9453438,46,1037,1,0,0,1,2,4,"1",2225.77091219199
41,"2015-01-02 16:00:00+01:00",2160.84297938719,2311.06839254339,2421.19125896722,279.8075,64,1038,1,0,0,1,2,4,"2",2173.81265223913
43,"2015-01-02 18:00:00+01:00",2543.56768133705,2646.92722142704,2247.73183064067,279.4343125,68,1037,1,0,0,2,3,4,"2",2311.06839254339
44,"2015-01-02 19:00:00+01:00",2646.92722142704,2678.91377655882,2236.2739601457,276.277,79,975,1,0,0,2,3,4,"2",2543.56768133705
45,"2015-01-02 20:00:00+01:00",2678.91377655882,2580.08964353975,2220.59895676023,273.682,74,1007,1,0,0,2,3,4,"2",2646.92722142704
46,"2015-01-02 21:00:00+01:00",2580.08964353975,2363.58363231198,2194.26176833083,271.087,68,976,1,0,0,2,3,4,"1",2678.91377655882
47,"2015-01-02 22:00:00+01:00",2363.58363231198,2145.08840745661,2181.61036965931,271.087,68,976,1,0,0,2,3,4,"1",2580.08964353975
48,"2015-01-02 23:00:00+01:00",2145.08840745661,2125.75325099636,2275.97866415256,271.087,68,976,1,0,0,2,3,4,"1",2363.58363231198
60,"2015-01-03 11:00:00+01:00",2125.75325099636,2132.5961458753,2414.58706972359,282.043,68,976,2,0,0,1,1,4,"1",2145.08840745661
61,"2015-01-03 12:00:00+01:00",2132.5961458753,2101.88268746518,2243.03728647954,282.043,68,976,2,0,0,1,1,4,"1",2125.75325099636
64,"2015-01-03 15:00:00+01:00",1970.91286222413,1949.50892359117,1861.10826998072,285.737,59,974,1,0,0,1,1,4,"1",2018.01744092565
65,"2015-01-03 16:00:00+01:00",1949.50892359117,1988.5770792372,1749.55316974502,283.36975,66,990,1,0,0,1,1,4,"1",1970.91286222413
66,"2015-01-03 17:00:00+01:00",1988.5770792372,2225.05479528605,1685.42092239126,282.5806563,65,1036,1,0,0,1,1,4,"1",1949.50892359117
67,"2015-01-03 18:00:00+01:00",2225.05479528605,2362.70837831583,1653.27523016927,279.4243438,77,1036,1,0,0,2,1,4,"1",1988.5770792372
68,"2015-01-03 19:00:00+01:00",2362.70837831583,2377.03071643454,1615.95758251553,276.268,86,974,1,0,0,2,1,4,"1",2225.05479528605
69,"2015-01-03 20:00:00+01:00",2377.03071643454,2305.81686856653,1788.54175684594,271.252,70,975,1,0,0,2,1,4,"1",2362.70837831583
70,"2015-01-03 21:00:00+01:00",2305.81686856653,2376.79201079923,1896.43670400686,271.252,70,975,1,0,0,2,1,4,"1",2377.03071643454
71,"2015-01-03 22:00:00+01:00",2376.79201079923,2433.60395200343,1943.77998834369,271.252,70,975,1,0,0,2,1,4,"1",2305.81686856653
82,"2015-01-04 09:00:00+01:00",2433.60395200343,2448.48326993786,1741.59631523463,271.386,70,973,1,0,0,1,1,4,"1",2376.79201079923
83,"2015-01-04 10:00:00+01:00",2448.48326993786,2441.56080651382,1754.32728245125,271.386,70,973,1,0,0,1,1,4,"1",2433.60395200343
84,"2015-01-04 11:00:00+01:00",2441.56080651382,2421.19125896722,1818.77780398543,271.386,70,973,1,0,0,1,1,4,"1",2448.48326993786
85,"2015-01-04 12:00:00+01:00",2421.19125896722,2286.8795548318,2037.2730288408,283.886,68,972,1,0,0,1,1,4,"1",2441.56080651382
86,"2015-01-04 13:00:00+01:00",2286.8795548318,2247.73183064067,2019.52924328262,283.886,68,972,1,0,0,1,1,4,"1",2421.19125896722
87,"2015-01-04 14:00:00+01:00",2247.73183064067,2236.2739601457,1895.48188146561,285.8745,54,1002,1,0,0,1,1,4,"1",2286.8795548318
88,"2015-01-04 15:00:00+01:00",2236.2739601457,2220.59895676023,2264.20251947718,286.642,59,970,1,0,0,1,1,4,"1",2247.73183064067
89,"2015-01-04 16:00:00+01:00",2220.59895676023,2194.26176833083,2363.82233794729,286.642,59,970,1,0,0,1,1,4,"1",2236.2739601457
90,"2015-01-04 17:00:00+01:00",2194.26176833083,2181.61036965931,2457.63365262481,282.3925,68,970,1,0,0,1,1,4,"1",2220.59895676023
91,"2015-01-04 18:00:00+01:00",2181.61036965931,2275.97866415256,2499.16843316906,278.143,78,970,1,0,0,2,1,4,"1",2194.26176833083
92,"2015-01-04 19:00:00+01:00",2275.97866415256,2414.58706972359,2541.97631043497,275.5735,75,970,1,0,0,2,1,4,"1",2181.61036965931
94,"2015-01-04 21:00:00+01:00",2243.03728647954,2090.26567988001,2481.98162742661,273.004,72,970,1,0,0,2,1,4,"1",2414.58706972359
95,"2015-01-04 22:00:00+01:00",2090.26567988001,1994.7038572102,2430.18250456396,273.004,72,970,1,0,0,2,1,4,"1",2243.03728647954
96,"2015-01-04 23:00:00+01:00",1994.7038572102,1861.10826998072,2434.08136327405,271.258,67,970,1,0,0,2,1,4,"1",2090.26567988001
97,"2015-01-05 00:00:00+01:00",1861.10826998072,1749.55316974502,2450.63162065567,271.258,81,1001,1,0,0,2,1,4,"1",1994.7038572102
98,"2015-01-05 01:00:00+01:00",1749.55316974502,1685.42092239126,2425.32882331262,271.258,67,970,1,0,0,2,1,4,"1",1861.10826998072
99,"2015-01-05 02:00:00+01:00",1685.42092239126,1653.27523016927,2398.75292924791,271.258,67,970,1,0,0,2,1,4,"1",1749.55316974502
100,"2015-01-05 03:00:00+01:00",1653.27523016927,1615.95758251553,2722.91518200129,270.453,65,969,1,0,0,2,1,4,"1",1685.42092239126
102,"2015-01-05 05:00:00+01:00",1788.54175684594,1896.43670400686,2827.46825026784,270.453,65,969,1,0,0,2,1,4,"1",1615.95758251553
106,"2015-01-05 09:00:00+01:00",1896.43670400686,1943.77998834369,2844.73462455539,272.211,73,970,1,0,0,1,2,4,"2",1788.54175684594
107,"2015-01-05 10:00:00+01:00",1943.77998834369,1741.59631523463,2833.03804842511,271.434,69,969,1,0,0,1,3,4,"1",1896.43670400686
108,"2015-01-05 11:00:00+01:00",1741.59631523463,1754.32728245125,2866.05899464324,272.211,73,970,1,0,0,1,3,4,"2",1943.77998834369
115,"2015-01-05 18:00:00+01:00",1754.32728245125,1818.77780398543,2869.71914771802,279.2606875,84,1028,1,0,0,2,3,4,"1",1741.59631523463
117,"2015-01-05 20:00:00+01:00",2037.2730288408,2019.52924328262,2843.70023346904,270.92,72,966,1,0,0,2,3,4,"1",1818.77780398543
120,"2015-01-05 23:00:00+01:00",2264.20251947718,2363.82233794729,2333.6658593529,270.003,70,965,1,0,0,2,3,4,"1",1895.48188146561
130,"2015-01-06 09:00:00+01:00",2457.63365262481,2499.16843316906,2246.77700809942,273.445,87,965,0,0,0,1,2,4,"2",2363.82233794729
131,"2015-01-06 10:00:00+01:00",2499.16843316906,2541.97631043497,2217.41621495607,273.445,87,965,0,0,0,1,3,4,"2",2457.63365262481
132,"2015-01-06 11:00:00+01:00",2541.97631043497,2552.39978984358,2200.38854630384,273.445,87,965,0,0,0,1,3,4,"2",2499.16843316906
133,"2015-01-06 12:00:00+01:00",2552.39978984358,2481.98162742661,2188.69197017356,277.577,92,966,1,0,0,1,3,4,"2",2541.97631043497
134,"2015-01-06 13:00:00+01:00",2481.98162742661,2430.18250456396,2191.6360063424,278.588,88,965,1,0,0,1,3,4,"2",2552.39978984358
135,"2015-01-06 14:00:00+01:00",2430.18250456396,2434.08136327405,2194.34133687594,279.599,84,964,1,0,0,1,2,4,"1",2481.98162742661
136,"2015-01-06 15:00:00+01:00",2434.08136327405,2450.63162065567,2245.58347992286,279.599,84,964,1,0,0,1,2,4,"1",2430.18250456396
137,"2015-01-06 16:00:00+01:00",2450.63162065567,2425.32882331262,2245.50391137776,276.9485,85,964,1,0,0,1,2,4,"2",2434.08136327405
138,"2015-01-06 17:00:00+01:00",2425.32882331262,2398.75292924791,2540.78278225841,274.298,87,964,1,0,0,1,2,4,"2",2450.63162065567
139,"2015-01-06 18:00:00+01:00",2398.75292924791,2722.91518200129,2651.62176558817,274.298,87,964,1,0,0,2,3,4,"2",2425.32882331262
140,"2015-01-06 19:00:00+01:00",2722.91518200129,2768.66709543604,2716.78840402828,272.128,80,965,1,0,0,2,3,4,"2",2398.75292924791
156,"2015-01-07 11:00:00+01:00",2827.46825026784,2844.73462455539,2826.5929962717,274.9915,87,1000,1,0,0,1,3,4,"1",2768.66709543604
157,"2015-01-07 12:00:00+01:00",2844.73462455539,2833.03804842511,2751.40072114849,279.868,79,968,1,0,0,1,3,4,"1",2827.46825026784
