"index","time_ID","E_1","E_2","E_25","temp","humidity","pressure","wind_speed","rain_duration","snow_duration","day_night","time_band","season","weather_main","energy_demand"
1,"2015-01-01 00:00:00+01:00",1359.4529690165,1109.83148832226,1256.74964816799,270.475,77,1001,1,0,0,2,1,4,"1",1415.37665566745
6,"2015-01-01 05:00:00+01:00",1115.68591214913,1136.14851733448,1230.32110632098,270.292,71,1004,2,0,0,2,1,4,"1",1109.83148832226
7,"2015-01-01 06:00:00+01:00",1136.14851733448,1120.36945121063,1241.97419755732,270.292,71,1004,2,0,0,2,1,4,"1",1115.68591214913
8,"2015-01-01 07:00:00+01:00",1120.36945121063,1150.64518585815,1283.79151060639,270.292,71,1004,2,0,0,2,1,4,"1",1136.14851733448
9,"2015-01-01 08:00:00+01:00",1150.64518585815,1240.58028712235,1321.37133593315,274.601,71,1005,1,0,0,1,2,4,"1",1120.36945121063
10,"2015-01-01 09:00:00+01:00",1240.58028712235,1312.89636048854,1440.41128707949,274.601,71,1005,1,0,0,1,2,4,"1",1150.64518585815
13,"2015-01-01 12:00:00+01:00",1377.90834317549,1375.62233006214,1620.89481019927,284.824,55,1006,1,0,0,1,3,4,"1",1345.56962108421
14,"2015-01-01 13:00:00+01:00",1375.62233006214,1311.83698855796,1641.41317180201,284.824,55,1006,1,0,0,1,3,4,"1",1377.90834317549
15,"2015-01-01 14:00:00+01:00",1311.83698855796,1288.97685742447,1630.37340115706,285.0506563,52,1015,1,0,0,1,2,4,"1",1375.62233006214
16,"2015-01-01 15:00:00+01:00",1288.97685742447,1316.18598911506,1559.67426389544,285.2773438,50,1025,1,0,0,1,2,4,"1",1311.83698855796
17,"2015-01-01 16:00:00+01:00",1316.18598911506,1474.58997094493,1523.26532333405,281.024,67,1021,1,0,0,1,2,4,"1",1288.97685742447
18,"2015-01-01 17:00:00+01:00",1474.58997094493,1562.29481551318,1514.17702729805,282.744,58,1035,1,0,0,1,2,4,"1",1316.18598911506
20,"2015-01-01 19:00:00+01:00",1617.71669440754,1648.77301889865,1782.36539498607,277.8761875,69,1017,1,0,0,2,3,4,"1",1562.29481551318
21,"2015-01-01 20:00:00+01:00",1648.77301889865,1618.66455350332,1854.79298118706,275.0075,81,1021,1,0,0,2,3,4,"1",1617.71669440754
22,"2015-01-01 21:00:00+01:00",1618.66455350332,1494.1604734519,1877.20706098136,272.791,84,1006,1,0,0,2,3,4,"1",1648.77301889865
23,"2015-01-01 22:00:00+01:00",1494.1604734519,1509.32621898436,1807.9575905721,272.791,84,1006,1,0,0,2,3,4,"1",1618.66455350332
24,"2015-01-01 23:00:00+01:00",1509.32621898436,1390.28626783801,1656.24437883008,271.229,82,1006,1,0,0,2,3,4,"1",1494.1604734519
25,"2015-01-02 00:00:00+01:00",1390.28626783801,1294.32947349475,1425.35705438183,271.229,82,1006,1,0,0,2,1,4,"1",1509.32621898436
26,"2015-01-02 01:00:00+01:00",1294.32947349475,1256.74964816799,1314.95934793229,271.229,82,1006,1,0,0,2,1,4,"1",1390.28626783801
27,"2015-01-02 02:00:00+01:00",1256.74964816799,1231.99379884294,1237.45792774802,270.664,82,1005,1,0,0,2,1,4,"1",1294.32947349475
30,"2015-01-02 05:00:00+01:00",1241.97419755732,1283.79151060639,1188.50379327191,270.277,78,1006,1,0,0,2,1,4,"1",1230.32110632098
31,"2015-01-02 06:00:00+01:00",1283.79151060639,1321.37133593315,1208.46459070066,270.277,78,1006,1,0,0,2,1,4,"1",1241.97419755732
32,"2015-01-02 07:00:00+01:00",1321.37133593315,1440.41128707949,1233.7222477823,270.277,78,1006,1,0,0,2,1,4,"1",1283.79151060639
33,"2015-01-02 08:00:00+01:00",1440.41128707949,1557.10946869509,1268.79303432612,274.43,70,1007,2,0,0,1,2,4,"1",1321.37133593315
34,"2015-01-02 09:00:00+01:00",1557.10946869509,1620.95056661667,1374.61871454896,274.43,70,1007,2,0,0,1,2,4,"1",1440.41128707949
35,"2015-01-02 10:00:00+01:00",1620.95056661667,1620.89481019927,1474.98026586672,274.43,70,1007,2,0,0,1,3,4,"1",1557.10946869509
36,"2015-01-02 11:00:00+01:00",1620.89481019927,1641.41317180201,1503.1372566531,285.595,52,1007,1,0,0,1,3,4,"1",1620.95056661667
37,"2015-01-02 12:00:00+01:00",1641.41317180201,1630.37340115706,1489.5884472252,286.304,44,1022,1,0,0,1,3,4,"1",1620.89481019927
38,"2015-01-02 13:00:00+01:00",1630.37340115706,1559.67426389544,1494.38349912149,285.595,52,1007,1,0,0,1,3,4,"1",1641.41317180201
39,"2015-01-02 14:00:00+01:00",1559.67426389544,1523.26532333405,1472.86152200557,287.2833125,37,1036,1,0,0,1,2,4,"1",1630.37340115706
40,"2015-01-02 15:00:00+01:00",1523.26532333405,1514.17702729805,1414.09425806728,287.5536875,37,1036,1,0,0,1,2,4,"1",1559.67426389544
41,"2015-01-02 16:00:00+01:00",1514.17702729805,1619.4451433469,1381.08645896722,282.42,54,1037,1,0,0,1,2,4,"1",1523.26532333405
42,"2015-01-02 17:00:00+01:00",1619.4451433469,1782.36539498607,1366.08798268695,284.4916563,48,1036,1,0,0,1,2,4,"1",1514.17702729805
43,"2015-01-02 18:00:00+01:00",1782.36539498607,1854.79298118706,1393.46438362974,281.1593438,59,1036,1,0,0,2,3,4,"1",1619.4451433469
44,"2015-01-02 19:00:00+01:00",1854.79298118706,1877.20706098136,1559.17245613885,277.545,81,1006,1,0,0,2,3,4,"1",1782.36539498607
45,"2015-01-02 20:00:00+01:00",1877.20706098136,1807.9575905721,1655.6310582387,275.707,75,1022,1,0,0,2,3,4,"1",1854.79298118706
